Ticker,Tier,Profile,TierAdjustment,MinLiquidityRpB,MinRR2,TopCandidateMinScore
MIDI,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
MPMX,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
MTEL,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
MTDL,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
NISP,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
PALM,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
PBID,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
PNBN,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
POWR,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
PANI,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
PTPP,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
ROTI,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
SAME,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
SIDO,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
SILO,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
SIMP,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
SMDR,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
SMSM,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
SPTO,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
SRTG,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
TBIG,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
TBLA,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
TGKA,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
TINS,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
TMAS,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
TOTL,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
TSPC,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
VKTR,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
WEGE,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
WIKA,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
WTON,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
BIRD,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
ARNA,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
CASS,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
EPMT,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
GJTL,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
ABMM,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
ADHI,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
ADES,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
BIPI,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
BNBR,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
BREN,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
BSSR,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
BULL,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
BUVA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
BYAN,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
CCSI,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
CEKA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
COIN,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
DILD,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
DLTA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
DNET,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
DSSA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
DVLA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
EAST,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
ELPI,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
EMAS,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
FILM,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
HILL,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
HITS,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
HOKI,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
IATA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
INDS,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
INET,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
INRU,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
IPPE,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
JGLE,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
KAEF,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
KBLI,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
MASA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
MINA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
MLBI,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
MLIA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
MNCN,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
NELY,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
PPRE,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
PSAB,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
RALS,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
RMKE,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
SGER,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
SMIL,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
SOCI,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
TOBA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
WIRG,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
WINS,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
WOOD,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
TPMA,C,Tactical / higher-beta,-5.0,10.0,2.0,85.0
